index,country,iso3Code,year,"Unemployment, total (% of total labor force) (modeled ILO estimate)",Armed forces (% labor force),government  consumption exp (% of GDP),"Population, total",Population density,immigration_100k
256,Burundi,BDI,2021,1.118,0.589718206,30.77247,12965481,504.8863318,9.718112270574458
257,Burundi,BDI,2022,0.915,0.589718206,30.9754527,13321097,518.7343069,11.898419477014544
258,Burundi,BDI,2023,0.921,0.589718206,30.50530896,13689450,518.7343069,7.5240422369050615
259,Cabo Verde,CPV,2015,11.907,0.555735655,20.25946357,512394,127.1449132,0
260,Cabo Verde,CPV,2016,12.077,0.553538727,19.83164452,512554,127.1846154,0
261,Cabo Verde,CPV,2017,12.24,0.460195399,17.76753513,512893,127.2687345,0
262,Cabo Verde,CPV,2019,12.128,0.472875842,19.8144672,514104,127.5692308,0
263,Cabo Verde,CPV,2020,14.69,0.493356949,25.72931048,514679,127.7119107,0
264,Cabo Verde,CPV,2021,13.976,0.493356949,26.58763251,516649,128.2007444,0
265,Cabo Verde,CPV,2022,12.246,0.493356949,22.365022,519741,128.9679901,1.9240352406294672
266,Cabo Verde,CPV,2023,11.971,0.493356949,21.75335973,522331,128.9679901,0
267,Cambodia,KHM,2015,0.393,2.259727637,5.461082875,15623251,88.50697371,1.3121468764727648
268,Cambodia,KHM,2016,0.716,2.165630794,5.320850037,15852803,89.80740426,1.6085483431542043
269,Cambodia,KHM,2017,0.141,2.137267636,5.244503357,16073372,91.05694539,1.3998307262471124
270,Cambodia,KHM,2018,0.13,2.095681614,4.948207579,16274522,92.19647632,1.2596376102474776
271,Cambodia,KHM,2019,0.119,2.04724769,4.809338638,16481304,93.36791298,1.456195456378937
272,Cambodia,KHM,2020,0.172,2.014759644,5.422165844,16725474,94.75115568,0.8669410505197043
273,Cambodia,KHM,2021,0.396,2.014759644,6.565786405,16974305,96.16080331,0.6185820273643016
274,Cambodia,KHM,2022,0.231,2.014759644,5.899853929,17201724,97.44915024,1.2789415758560014
275,Cambodia,KHM,2023,0.225,2.014759644,6.077860903,17423880,97.44915024,1.0043687169562692
276,Cameroon,CMR,2015,3.518,0.254189814,12.25388558,22763414,48.15513528,8.917818741951448
277,Cameroon,CMR,2016,3.528,0.249463095,12.12434562,23454161,49.61638425,8.953635135360416
278,Cameroon,CMR,2017,3.568,0.251718266,11.68042445,24128601,51.04313638,9.470089044947116
279,Cameroon,CMR,2018,3.601,0.35513182,11.92001884,24806383,52.47695839,9.171026666805878
280,Cameroon,CMR,2019,3.622,0.345182887,12.09635125,25506095,53.95717247,11.546259825347628
281,Cameroon,CMR,2020,3.87,0.342516296,12.2819317,26210558,55.44743712,6.066257727134234
282,Cameroon,CMR,2021,3.973,0.342516296,12.04323631,26915758,56.93926086,9.511156995838645
283,Cameroon,CMR,2022,3.653,0.342516296,10.50755549,27632771,58.45607455,22.65426076885304
284,Cameroon,CMR,2023,3.613,0.342516296,10.58431522,28372687,58.45607455,41.20159645
285,Canada,CAN,2015,6.945,0.342536207,20.87782513,35704498,3.982392458,2.996821296857332
